adenoma_1,adenoma_1,adenoma_8,adenoma_8,adenoma_9,adenoma_9,adenoma_10,adenoma_10,adenoma_11,adenoma_11,adenoma_2,adenoma_2,adenoma_12,adenoma_12,adenoma_13,adenoma_13,adenoma_14,adenoma_14,adenoma_15,adenoma_15,adenoma_16,adenoma_16,adenoma_17,adenoma_17,adenoma_18,adenoma_18,adenoma_19,adenoma_19,adenoma_20,adenoma_20,adenoma_21,adenoma_21,adenoma_3,adenoma_3,adenoma_22,adenoma_22,adenoma_23,adenoma_23,adenoma_24,adenoma_24,adenoma_25,adenoma_25,adenoma_26,adenoma_26,adenoma_27,adenoma_27,adenoma_28,adenoma_28,adenoma_29,adenoma_29,adenoma_30,adenoma_30,adenoma_31,adenoma_31,adenoma_4,adenoma_4,adenoma_32,adenoma_32,adenoma_33,adenoma_33,adenoma_34,adenoma_34,adenoma_35,adenoma_35,adenoma_36,adenoma_36,adenoma_37,adenoma_37,adenoma_38,adenoma_38,adenoma_39,adenoma_39,adenoma_40,adenoma_40,adenoma_5,adenoma_5,adenoma_6,adenoma_6,adenoma_7,adenoma_7,hyperplasic_1,hyperplasic_1,hyperplasic_10,hyperplasic_10,hyperplasic_11,hyperplasic_11,hyperplasic_12,hyperplasic_12,hyperplasic_13,hyperplasic_13,hyperplasic_14,hyperplasic_14,hyperplasic_15,hyperplasic_15,hyperplasic_16,hyperplasic_16,hyperplasic_17,hyperplasic_17,hyperplasic_18,hyperplasic_18,hyperplasic_19,hyperplasic_19,hyperplasic_2,hyperplasic_2,hyperplasic_20,hyperplasic_20,hyperplasic_21,hyperplasic_21,hyperplasic_3,hyperplasic_3,hyperplasic_4,hyperplasic_4,hyperplasic_5,hyperplasic_5,hyperplasic_6,hyperplasic_6,hyperplasic_7,hyperplasic_7,hyperplasic_8,hyperplasic_8,hyperplasic_9,hyperplasic_9,serrated_1,serrated_1,serrated_10,serrated_10,serrated_11,serrated_11,serrated_12,serrated_12,serrated_13,serrated_13,serrated_14,serrated_14,serrated_15,serrated_15,serrated_2,serrated_2,serrated_3,serrated_3,serrated_4,serrated_4,serrated_5,serrated_5,serrated_6,serrated_6,serrated_7,serrated_7,serrated_8,serrated_8,serrated_9,serrated_9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2
138.12,127.99,80.415,90.896,106.16,147.09,148.73,126.05,109.13,129.7,153.97,140.41,65.564,102.4,142.53,120.8,80.391,91.327,127.47,121.29,126.96,122.67,115.99,143.66,124.38,88.691,122.54,152.87,93.921,140.79,139.52,101.74,164.6,113.64,113.18,101.6,120.16,138.15,112.04,101.71,111.75,65.184,136.91,117.45,158.8,92.803,116.87,138.76,94.829,127.9,153.69,122.61,80.872,127.56,120.37,76.959,95.903,134.6,115.84,100.26,150.54,107.44,154.45,138.14,105.76,105.83,110.79,72.784,153.18,141.91,146.48,146.54,163.11,200.2,118.16,94.867,131.01,120.64,118.39,76.601,140.73,142.77,117.8,135.3,161.18,192.86,117.67,121,133.7,169.31,86.29,139.25,140.45,138.42,154.63,144.03,129.83,116.42,124.69,147.66,177.17,175.13,150.59,118.03,174.91,163.73,162.72,204.53,88.359,77.036,125.92,101.82,174.22,91.011,185.87,144.14,145.31,144.57,129.86,157.74,131.74,182.7,137.04,153.82,130.12,152.97,144.8,162.74,141.05,147.77,162.57,133.71,154.47,161.17,136.37,123.16,112.6,151.12,107.47,103.22,100.45,81.418,114.59,86.424,163.68,71.638,180.11,136.55,96.852,157.81,93.569,95.543
1606.8,3377.9,1852.1,1904.3,1184.4,822.32,2412.5,4752.2,999.39,599.95,3249.6,2565.3,1719.4,3445.2,4289.2,3272.6,1216.2,740.45,1406.8,1933.4,4001.8,2751.3,1175.2,1661.9,1929.2,910.58,684.01,1708.1,2229.2,4448.2,1309.9,1531.6,1728.8,2263.5,1133.2,2141.8,1673.2,3625.7,2747.9,3900.4,1193.6,874.18,909.45,1687.3,3795.4,1864.6,2360.7,3915.7,3450.1,1814.9,1408.3,1527.9,1012.6,2725.4,3050.4,3135.2,483.59,1372.2,1991.9,2811.8,852.35,1871.4,1058.4,4283.7,476.84,834.37,1108.4,1281.1,381.54,1062.7,646.06,543.53,1385.9,1603.9,285.46,794.49,674.42,877.43,2007.4,1713.2,711.59,2076,465.65,1214.4,1102.3,999.02,697.08,880.86,520.09,1865,2231,676.48,972.73,284.71,566.7,2240.5,374.26,677.6,403.63,513.58,504.84,977.48,691.32,177.17,488.92,902.9,212.14,471.27,1011.9,675.93,354.8,910.8,1400.6,635.09,394.7,209.91,796.32,393.57,610.28,1858.7,216.66,1135.4,1631.8,1692.1,671.78,2202.1,1899.4,750.53,1257.7,1988.2,643.15,1042.3,1392.1,2808.5,3653.1,4003.8,705.56,2048.2,2812.5,3254.4,2597,2340.3,3014.5,3500.9,3253.1,1822.2,1198.5,1316.3,2071.3,2732.3,1163.6,2240.5
0.0038753,0.0035637,0.0047612,0.004147,0.0055184,0.0038706,0.0033357,0.0041875,0.0055411,0.0059172,0.0031398,0.0026123,0.0045473,0.004207,0.0032441,0.0037817,0.0043804,0.0055321,0.002802,0.0023727,0.0044154,0.0043032,0.0034826,0.0029315,0.0046138,0.00272,0.0028132,0.0033061,0.0027815,0.0028727,0.0055635,0.0059499,0.0036172,0.0036359,0.0066926,0.0056079,0.0048537,0.0038669,0.0060743,0.007395,0.0058418,0.003487,0.003464,0.0041255,0.0055927,0.0066463,0.0031605,0.0032053,0.0044434,0.003196,0.0042926,0.0039391,0.0034647,0.0047376,0.0046377,0.0045015,0.0057557,0.0051884,0.0035107,0.0036609,0.007176,0.0042493,0.0041531,0.0038028,0.0042133,0.003526,0.0033607,0.003064,0.0036569,0.0043398,0.002145,0.0037205,0.0082643,0.0081916,0.00644,0.003648,0.0037029,0.0045565,0.0038686,0.0039933,0.0061863,0.0050923,0.004185,0.003105,0.0045792,0.004771,0.0064583,0.006635,0.0053457,0.0057799,0.0020509,0.0045684,0.0049813,0.0055279,0.0053864,0.0028696,0.0056559,0.0048127,0.0012082,0.0054816,0.0065633,0.0085775,0.0052585,0.0071135,0.0036537,0.004389,0.0071856,0.0040986,0.0042774,0.0045775,0.0072022,0.00594,0.0025046,0.0029028,0.0062139,0.0053921,0.0062634,0.011047,0.0039649,0.0034486,0.0083188,0.004682,0.009326,0.0036998,0.0031928,0.0025502,0.0036837,0.0032239,0.0041336,0.0046981,0.0098955,0.0054147,0.0040591,0.0036707,0.0017259,0.0019391,0.0026027,0.0033627,0.0030435,0.0030142,0.0030039,0.00494,0.0044436,0.0034095,0.0048694,0.0041482,0.0032726,0.0024422,0.0043793,0.0040146,0.0021991,0.0048031
0.0058799,0.0056453,0.0075581,0.0067283,0.0076452,0.0052106,0.0076953,0.0073657,0.0070359,0.0079341,0.0050106,0.0038339,0.0086636,0.0061365,0.0050185,0.005689,0.0059523,0.0088827,0.0042759,0.0036363,0.0068252,0.00803,0.0057435,0.0049548,0.0070131,0.004222,0.0051555,0.0048567,0.004666,0.0050164,0.0078347,0.00809,0.0057234,0.0053077,0.0091821,0.0087795,0.007822,0.0064325,0.0099572,0.011621,0.0087246,0.006831,0.0048593,0.0075826,0.010721,0.011683,0.0058375,0.0063767,0.0081398,0.005574,0.0067325,0.0071165,0.0054645,0.0078716,0.0080667,0.0081148,0.008961,0.0085395,0.0056029,0.0057695,0.011261,0.0057806,0.0072413,0.0054515,0.0059349,0.0060576,0.0047694,0.006218,0.0056142,0.0065607,0.0030888,0.0070729,0.011529,0.011598,0.012186,0.0061729,0.0053274,0.0078472,0.0060019,0.00665,0.0098267,0.0078496,0.0067893,0.00644,0.0079956,0.0079973,0.0085094,0.0092959,0.0076736,0.0092355,0.0032486,0.0069228,0.0076193,0.0094385,0.0082254,0.0053121,0.0078869,0.0065886,0.0017532,0.008417,0.012528,0.014353,0.0069106,0.0087919,0.0066771,0.0071149,0.010301,0.0056008,0.0067274,0.0076951,0.010575,0.0087898,0.0047748,0.0045563,0.0093235,0.0080723,0.0096975,0.014206,0.0077519,0.0060339,0.01265,0.0084709,0.013438,0.0053533,0.0045214,0.0039957,0.0057861,0.0040427,0.0068944,0.0069633,0.013358,0.0072906,0.0059753,0.0060078,0.0029222,0.0035106,0.0040535,0.0049493,0.0053267,0.0050455,0.0048704,0.0074993,0.0073837,0.0061683,0.0088193,0.0070447,0.0050786,0.0034868,0.0062597,0.006497,0.0034943,0.0088648
0.0052134,0.0058914,0.0052945,0.0050606,0.0079176,0.005834,0.0041393,0.0049992,0.0071589,0.0069764,0.0048462,0.0050648,0.0049318,0.0053296,0.0038986,0.0047588,0.0059008,0.0075585,0.0038057,0.0036174,0.0064864,0.0065352,0.0044758,0.0045968,0.00506,0.005177,0.0025904,0.0033912,0.0054425,0.0051047,0.005888,0.0061223,0.0046095,0.0047319,0.006399,0.0054999,0.003919,0.0040103,0.0051068,0.0069793,0.007591,0.0039551,0.0055328,0.0053664,0.0092788,0.0094853,0.0025776,0.0035517,0.0051536,0.0040028,0.0045892,0.0052879,0.0040333,0.0054093,0.0058184,0.0045529,0.0056664,0.0067511,0.004584,0.0053691,0.0074843,0.0053672,0.005343,0.0046929,0.0054215,0.0035569,0.0044785,0.005228,0.007307,0.0073348,0.0050191,0.0053358,0.0065499,0.0061438,0.0074808,0.0041503,0.0046623,0.0065741,0.0048209,0.0050996,0.0068686,0.0056612,0.0040014,0.0032456,0.0041845,0.0046066,0.0094327,0.0064763,0.0081254,0.0063889,0.0039636,0.008531,0.0052947,0.010485,0.0061837,0.0040451,0.0086301,0.006223,0.0036713,0.010709,0.0090023,0.0081261,0.006867,0.010034,0.0043329,0.0083215,0.0092863,0.0042293,0.0052229,0.007054,0.0089173,0.0062141,0.0033204,0.0055356,0.0057945,0.0055028,0.0082959,0.0092711,0.0050797,0.0047141,0.0082247,0.0048925,0.011713,0.0051221,0.0037199,0.0031199,0.0044194,0.0060366,0.0064326,0.0059214,0.012046,0.0052642,0.0059594,0.0053633,0.0025262,0.0036245,0.0048426,0.0050293,0.0051461,0.0041734,0.0056277,0.0057485,0.0048983,0.004861,0.0050437,0.0059415,0.0035465,0.0036977,0.0044966,0.0035736,0.0030035,0.0049136
0.0069351,0.0082193,0.0068631,0.0068787,0.0095128,0.006971,0.0057359,0.0066056,0.0082257,0.0076946,0.0073931,0.0079754,0.0068015,0.0075368,0.0052454,0.0060228,0.0071972,0.0086865,0.0051461,0.0055346,0.0080397,0.0090059,0.0063054,0.0060446,0.0059313,0.00836,0.0034755,0.0040531,0.0079304,0.0069496,0.007775,0.0066538,0.0059793,0.0060443,0.0078914,0.006803,0.0048131,0.0062382,0.0070875,0.0092973,0.0093188,0.0046196,0.0062821,0.0080079,0.011931,0.012253,0.0035049,0.0053166,0.0070791,0.0057572,0.005967,0.0092763,0.0054963,0.0075545,0.0085973,0.007962,0.0071364,0.0089562,0.0060114,0.007154,0.0090637,0.0072459,0.0065158,0.0054547,0.0071241,0.0046745,0.0056265,0.00724,0.0099023,0.011378,0.007681,0.0089058,0.0072909,0.0061542,0.011175,0.0058253,0.0065065,0.0095086,0.0066509,0.0061807,0.0098437,0.0079059,0.0051382,0.0046205,0.0061857,0.0059192,0.010536,0.008173,0.0095169,0.0068791,0.0057427,0.0089861,0.0065691,0.016419,0.0087114,0.0058555,0.010227,0.0076227,0.0053986,0.013343,0.01379,0.011244,0.0075467,0.011348,0.0061078,0.012538,0.011063,0.0045061,0.0068961,0.011082,0.011165,0.0073781,0.0045013,0.0076737,0.0062295,0.0062108,0.0088606,0.01076,0.0067964,0.0060432,0.011544,0.0080978,0.015095,0.0060285,0.0043558,0.0042146,0.0056831,0.0076544,0.0081382,0.0066055,0.014196,0.0064401,0.0082477,0.0079358,0.0035684,0.005609,0.006147,0.0067533,0.007506,0.0060404,0.0089258,0.0079657,0.0072995,0.0064767,0.0061511,0.0092911,0.0041051,0.0046159,0.0056377,0.0041316,0.0037496,0.0062754
0.0073333,0.0073251,0.0060879,0.0079478,0.010927,0.011036,0.0057939,0.0056163,0.0083202,0.0084037,0.0061337,0.0081427,0.0099551,0.0087032,0.0058253,0.007998,0.0096189,0.0088793,0.00541,0.0036005,0.010243,0.010086,0.0071472,0.0063624,0.0058995,0.0073438,0.004398,0.0044661,0.0075943,0.0073789,0.0072598,0.0064605,0.0058151,0.0063195,0.0090697,0.0060729,0.0062782,0.0054361,0.010042,0.010033,0.017196,0.0082604,0.0098598,0.0085967,0.014284,0.0089087,0.0035337,0.0058843,0.0058972,0.0062785,0.0081749,0.010199,0.010226,0.0098929,0.009149,0.005183,0.0080184,0.0079686,0.0087166,0.00775,0.0091448,0.0085283,0.0077068,0.0077769,0.0082425,0.0084902,0.0095135,0.0094675,0.011551,0.01373,0.0082623,0.012216,0.012066,0.0094373,0.01409,0.0070686,0.007745,0.0060703,0.010817,0.016226,0.010494,0.0088146,0.010381,0.0064022,0.008893,0.013373,0.015769,0.0081296,0.011999,0.007754,0.0062755,0.013362,0.0062303,0.017626,0.0068674,0.0076579,0.0085273,0.010747,0.015266,0.011121,0.009019,0.0075243,0.010126,0.01166,0.018118,0.018254,0.017669,0.012446,0.010338,0.012898,0.014779,0.011152,0.0081348,0.0082614,0.013212,0.0064798,0.0088285,0.011546,0.014609,0.013416,0.0083783,0.011483,0.015765,0.0062639,0.0074526,0.006535,0.0074924,0.0078111,0.010766,0.013748,0.016285,0.0076982,0.0092614,0.012855,0.0086495,0.011882,0.0099199,0.006587,0.0074074,0.0066918,0.0064986,0.0073147,0.0071558,0.0093573,0.0080031,0.0077806,0.0053098,0.0049341,0.006994,0.0063804,0.010524,0.0099413
0.0095801,0.0098827,0.0070738,0.009525,0.012717,0.012802,0.0066968,0.0061621,0.0088567,0.0088248,0.0087839,0.0099589,0.0118,0.012872,0.0073022,0.010691,0.009742,0.0090346,0.0061048,0.003828,0.011109,0.011414,0.010477,0.006587,0.0062607,0.007616,0.0055087,0.0051434,0.010495,0.0085824,0.0075363,0.0065589,0.0060844,0.0069601,0.011531,0.0062785,0.0078702,0.0063893,0.012064,0.011887,0.017692,0.0091082,0.0094833,0.0090296,0.013749,0.010878,0.005095,0.0083546,0.0072754,0.0078758,0.0084906,0.014525,0.012453,0.012964,0.011427,0.006761,0.0084517,0.008595,0.012091,0.0094553,0.0088535,0.0086776,0.008175,0.0088344,0.0089301,0.013106,0.011561,0.01033,0.012992,0.015012,0.0092624,0.014036,0.013678,0.0091092,0.016235,0.0085264,0.0096015,0.0073537,0.011014,0.015622,0.012854,0.010938,0.014999,0.009783,0.013511,0.017636,0.014867,0.0081395,0.012155,0.0076541,0.0080843,0.014471,0.0068247,0.020382,0.00817,0.012688,0.0081489,0.012015,0.018322,0.0094095,0.0092855,0.0065492,0.011026,0.012729,0.024258,0.021933,0.01916,0.014394,0.0121,0.015823,0.016498,0.013436,0.0097971,0.0094128,0.013033,0.0065737,0.008779,0.011522,0.01978,0.016888,0.0080716,0.014695,0.017325,0.0067623,0.0091539,0.0077768,0.011619,0.0090009,0.012084,0.01534,0.019071,0.010659,0.011071,0.014234,0.013587,0.016737,0.013077,0.0073942,0.0092706,0.0079299,0.0087141,0.0099076,0.0091972,0.01218,0.011503,0.010664,0.005817,0.0053869,0.010831,0.010797,0.014161,0.011755
